,fields used by students to decide on the labels,,,,,,dropdown list definitions,
http://n2t.net/ark:/65665/30015da60-a27a-4e51-be91-cf9dd88d0dba,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Lighthouse, North of Temae","Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Aphroditiformia, Polynoidae",Marine water body,Marine water body bottom,Phyllodocida worms are mostly marine though some are found in brackish water
http://n2t.net/ark:/65665/300fc9651-9e2a-479d-be84-04dcd7430d97,Invertebrate Zoology,,South Pacific Ocean,Southern East Pacific Rise,"Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Aphroditiformia, Polynoidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3013a3e3c-8383-4d5a-8777-37c99253c538,Invertebrate Zoology,,South Pacific Ocean,Southern East Pacific Rise,"Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Aphroditiformia, Polynoidae",,Marine water body bottom,Phyllodocida worms are mostly marine though some are found in brackish water
http://n2t.net/ark:/65665/300377d11-bb98-4e72-92bf-7440953c2670,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia","Opunohu Bay, wall near pylon","Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Glyceriformia, Glyceridae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/3011084e4-ad97-4b74-890a-becd40e495c5,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Papetoai","Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Glyceriformia, Glyceridae",,Marine water body bottom,
http://n2t.net/ark:/65665/30127aa75-5181-47ad-a91d-f62a47a2654e,Invertebrate Zoology,,"United States, Maryland, Anne Arundel County","Rhode River, Camp Letts Point","Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Glyceriformia, Goniadidae",,Marine water body bottom,Phyllodocida worms are mostly marine though some are found in brackish water; apparently there are some pelagic types...
http://n2t.net/ark:/65665/3007fc992-b909-4d5b-ac1a-8d78395c4550,Invertebrate Zoology,,"North Atlantic Ocean, Chesapeake Bay, United States, Virginia, Northampton County","Lower Chesapeake Bay, Cape Charles Beach, just N of fishing pier, along jetty","Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Nereidiformia, Nereididae",,Marine water body bottom,
http://n2t.net/ark:/65665/301227e2e-10fc-4d3f-a61f-6ebcafb679b7,Invertebrate Zoology,,"North Atlantic Ocean, Gulf of Mexico, Baffin Bay, United States, Texas",Baffin Bay,"Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Nereidiformia, Nereididae",,Marine water body bottom,
http://n2t.net/ark:/65665/30030ebd8-7c06-4db5-b3aa-c35ed5f5b15f,Invertebrate Zoology,,"North Pacific Ocean, United States, Washington, Thurston County",Inner Budd Inlet,"Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Nereidiformia, Pilargiidae, Pilarginae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/300516588-dd7f-4154-b9ee-d4fcd1caa9f5,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Gump Reef, in front of water bungalows","Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Nereidiformia, Syllidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3009c8db3-df5b-44a4-973f-cfdd6143d0bb,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, north of Vaiare Pass, off Sofitel","Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Nereidiformia, Syllidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3002153ae-b234-4485-9c5b-6c687f8a5e7f,Invertebrate Zoology,,"North Atlantic Ocean, United States, Virginia, Accomack County",confluence of Finney and Nickawampus creeks,"Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Phyllodociformia, Phyllodocidae, Eteoninae",Terrestrial water body,Marine water body bottom,Eteoninae are supposedly marine benthic critters.. Location looks like likely brackish water marsh
http://n2t.net/ark:/65665/300f7e723-cfc2-4f08-b238-ca1b976b05a3,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia",just E of Cook's Bay pass,"Animalia, Annelida, Polychaeta, Errantia, Phyllodocida, Phyllodociformia, Phyllodocidae, Phyllodocinae",,Marine water body bottom,
http://n2t.net/ark:/65665/3005c739a-12e1-43b9-b744-8ece3d43e3fd,Invertebrate Zoology,"rubble, reef, hard ground","North Pacific Ocean, Kaneohe Bay, United States, Hawaii, Honolulu County",barrier reef South of Kekapa Island,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Serpulidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3010be271-b0ee-4b6b-9e1d-a49645aa71bc,Invertebrate Zoology,,"North Atlantic Ocean, Chesapeake Bay, United States, Virginia, Accomack County","Lower Chesapeake Bay, Finneys Island","Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Serpulidae, Spirorbinae",,Marine water body bottom,
http://n2t.net/ark:/65665/30006cd83-36b3-4629-86db-f5a28307189f,Invertebrate Zoology,,"North Pacific Ocean, Gulf of California, Mexico",T548,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae","Marine water body,
Subaerial surface environment",Marine water body bottom,"Sabellida are filter feeder worms, must be water-body bottom"
http://n2t.net/ark:/65665/3000a656e-470a-4c27-b530-a022e653a9a8,Invertebrate Zoology,,"North Pacific Ocean, United States, California",T1048,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",Marine water body,Marine water body bottom,guessing that sedentaria type polychaeta are bottom dwellers
http://n2t.net/ark:/65665/30015c5b5-263e-4d28-916f-89728207dfda,Invertebrate Zoology,,South Pacific Ocean,23-50 South,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/30022f01b-0df3-4876-a3b7-aeadab80d457,Invertebrate Zoology,,North Pacific Ocean,"Juan de Fuca Ridge, Middle Valley,","Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",Marine water body bottom,Marine water body bottom,
http://n2t.net/ark:/65665/30038176b-416d-4f4a-991d-020f899aa25c,Invertebrate Zoology,,North Pacific Ocean,East Pacific Rise,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/3003ba8e8-a044-4069-bc9f-deb0e60544e9,Invertebrate Zoology,,South Pacific Ocean,Southern East Pacific Rise,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/30048a317-87c0-485a-896b-e1bfb1ec8d1c,Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon",T184,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3004cfe47-698e-43b8-a57e-05830df73946,Invertebrate Zoology,,"North Pacific Ocean, Mexico",T557,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/300657b5c-a87c-4146-9d8f-036142e23943,Invertebrate Zoology,,North Pacific Ocean,East Pacific Rise,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300763c52-5857-422f-bdaa-d43e114451a5,Invertebrate Zoology,,North Pacific Ocean,"Juan de Fuca Ridge, Middle Valley,","Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3007a0ea7-9ed9-4722-9005-962f03b26f45,Invertebrate Zoology,,North Pacific Ocean,East Pacific Rise,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3007c5106-179f-4a0b-8780-76d99e2e2791,Invertebrate Zoology,,,TD8,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300826300-907a-4f13-bc55-96bc9a4287bc,Invertebrate Zoology,,"North Pacific Ocean, Gulf of California, Mexico",D392,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300836268-79f9-48cd-9432-69914a0a3e3e,Invertebrate Zoology,,"North Pacific Ocean, United States, California",T208,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3008f73fe-46a2-47fa-9376-0f6c39c22dd6,Invertebrate Zoology,,North Pacific Ocean,"East Pacific Rise at 9°North, Biotransect","Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300b5d718-363b-45cf-9b1f-b551e526a6e2,Invertebrate Zoology,,"North Atlantic Ocean, United States","Florida Escarpment, West Florida Escarpment","Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300fb5bed-2b2f-4dd7-80df-2b996832373b,Invertebrate Zoology,,South Pacific Ocean,Southern East Pacific Rise,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300ff0d9f-659e-4470-a802-3ad85205b26a,Invertebrate Zoology,,"North Pacific Ocean, Gulf of California, Mexico",T548,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/301088bfa-5dd9-4e31-9412-9b46fee81641,Invertebrate Zoology,,"North Pacific Ocean, Gulf of California, Mexico",T526,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/30109e05b-06fd-429d-93db-4fe6db8a75c1,Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon",T186,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3010fcc0d-66e7-4824-9219-ee1965bd7171,Invertebrate Zoology,,South Pacific Ocean,Southern East Pacific Rise,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/30120d8e1-20e8-41db-9981-29781e7cc985,Invertebrate Zoology,,South Pacific Ocean,Southern East Pacific Rise,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Sabellida, Siboglinidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3010c45ac-bf32-4797-8dd9-751e57bf0a57,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida",Gulf Stream off Fort Pierce,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Spionida, Spioniformia, Magelonidae",,Marine water body bottom,
http://n2t.net/ark:/65665/30045758f-31a9-45f4-b278-c46045f23e1c,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Spionida, Spioniformia, Spionidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/3009908b4-e06d-4b72-b81e-c030ec79bb53,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Spionida, Spioniformia, Spionidae",,Marine water body bottom,
http://n2t.net/ark:/65665/30076f95f-414a-4782-b869-350978fd23b4,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Terebellida, Cirratuliformia, Cirratulidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3002a09bd-c7c2-4fd3-99b7-ce89825dcdef,Invertebrate Zoology,,South Pacific Ocean,Southern East Pacific Rise,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Terebellida, Terebellomorpha, Alvinellidae",Marine water body bottom,Marine water body bottom,
http://n2t.net/ark:/65665/3000c057f-226d-49ef-8213-9ef71126c3d2,Invertebrate Zoology,picked from 0.5-2 mm fraction of ARMS mobile fauna,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, ARMS 10 site","Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Terebellida, Terebellomorpha, Terebellidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/3002c26c7-16bb-4ee0-a33f-cbe79fef7788,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Terebellida, Terebellomorpha, Terebellidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/300c83c99-bf19-4f34-9dcc-c1d7bee0e70e,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,"Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Terebellida, Terebellomorpha, Terebellidae",,Marine water body bottom,
http://n2t.net/ark:/65665/3012fc42f-0d41-4c08-914d-c856844bf352,Invertebrate Zoology,,"North Atlantic Ocean, Chesapeake Bay, United States, Virginia, Virginia Beach County","Lower Chesapeake Bay, Lynnhaven Roads","Animalia, Annelida, Polychaeta, Sedentaria, Canalipalpata, Terebellida, Terebellomorpha, Terebellidae, Terebellinae",,Marine water body bottom,
http://n2t.net/ark:/65665/30115e06f-6b2c-44c9-94cb-f409cfe5f328,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia",Papetoai,"Animalia, Annelida, Polychaeta, Sedentaria, Chaetopteridae",,Marine water body bottom,
http://n2t.net/ark:/65665/3002db4dc-6ee3-4bc7-a46b-33f491509f26,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, ARMS 12 & 13 site","Animalia, Annelida, Polychaeta, Sedentaria, Scolecida, Capitellidae",Marine water body,Marine water body bottom,
http://n2t.net/ark:/65665/3001990b8-1fa7-4965-8008-bb59c493bc5c,Invertebrate Zoology,,"United States, Virginia, Gloucester County","York River, VIMS Beach","Animalia, Annelida, Polychaeta, Sedentaria, Scolecida, Maldanidae, Euclymeninae",Terrestrial water body,Marine water body bottom,Sedentaria are bottom dwelling worms; Scolecids are mostly unselective deposit feeders on marine detritus
http://n2t.net/ark:/65665/3013f2fcd-fb72-4b81-9ba7-87bb52858792,Invertebrate Zoology,,"North Pacific Ocean, United States, Oregon, Coos County",Bastendorff Beach,"Animalia, Annelida, Polychaeta, Sedentaria, Scolecida, Orbiniidae",,Marine water body bottom,
http://n2t.net/ark:/65665/30048d568-f3a9-4ad0-bc75-534843f15e31,Entomology,,"United States, North Carolina, Macon",Highlands Biological Station,"Animalia, Arthropoda, Arachnida, Araneae, Linyphiidae",Laboratory or curation environment,Subaerial surface environment,
http://n2t.net/ark:/65665/300b818cf-4edd-4de0-8163-09772c496143,Entomology,,"Switzerland, [Not Stated], [Not Stated]","CH17: Engadin, Bivio","Animalia, Arthropoda, Arachnida, Araneae, Linyphiidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300451ca3-cc09-4483-b91c-69cad1d6b55e,Entomology,,"Slovenia, [Not Stated], [Not Stated]",Menina planina (WTK19),"Animalia, Arthropoda, Arachnida, Araneae, Lycosidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300e711ca-6a1c-41a0-b0ca-2ee4c14b8635,Entomology,,"Switzerland, [Not Stated], [Not Stated]","CH25: Grison Alps, Alp Flix, Salategnas","Animalia, Arthropoda, Arachnida, Araneae, Tetragnathidae",,Subaerial surface environment,
http://n2t.net/ark:/65665/300178c80-74ab-4c2f-9e84-277d54a04f5d,Invertebrate Zoology,,"United States, Arkansas",Crandall Database: U.S.A.; AR; ; ; ; ; ; ; ;,"Animalia, Arthropoda, Crustacea",Subaerial surface environment,Subaerial surface environment,
http://n2t.net/ark:/65665/3001b9363-3a5c-4f9e-a3dc-0f2fabafe59a,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Near lighthouse","Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda",Marine water body,,unidentified shrimp
http://n2t.net/ark:/65665/3007d1412-653d-4c7e-a3d1-ddf570eae1cc,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda",,Marine water body,
http://n2t.net/ark:/65665/30091f5a3-2b55-41e0-8337-03dde04bb2e1,Invertebrate Zoology,,French Polynesia,"Iles Sous le Vent, Tahiti, Pueu, Pueu River","Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda",,Marine water body,Common Name:Unidentified Shrimp; guess Marine water body
http://n2t.net/ark:/65665/300a73d11-3cff-44b9-b8f7-6b62c3cd877c,Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda",,Marine water body,
http://n2t.net/ark:/65665/300b72c21-037f-4709-a64c-9043583a238b,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Near lighthouse","Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda",,Marine water body,
http://n2t.net/ark:/65665/300d2be5b-24f3-42dc-9270-e8f98d3fcd61,Invertebrate Zoology,,"North Atlantic Ocean, Gulf of Mexico, United States, Texas","Beach in front of ""The Dunes"" condominiums","Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Dendrobranchiata, Penaeidae",,Marine water body,could be marine water body bottom
http://n2t.net/ark:/65665/30075991a-cfd0-4501-895a-d36169662f29,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia",,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata",,Marine water body,could be marine water body bottom
http://n2t.net/ark:/65665/300857bfc-f5b1-4aef-911f-08b795498d21,Invertebrate Zoology,,"North Pacific Ocean, United States, California",T644,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata",,Marine water body,could be marine water body bottom
http://n2t.net/ark:/65665/3008d44c8-75b6-4ef7-b9ba-70120f8fee85,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea",,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata",,Marine water body,could be marine water body bottom
http://n2t.net/ark:/65665/300cffa9f-2275-4c6e-b8ce-93b246b5890e,Invertebrate Zoology,,North Pacific Ocean,Mariana Trough,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata",,Marine water body,could be marine water body bottom
http://n2t.net/ark:/65665/300dec4f8-6ee3-4cce-a303-c3a860e098eb,Invertebrate Zoology,,"North Pacific Ocean, United States, California",T609,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata",,Marine water body,could be marine water body bottom
http://n2t.net/ark:/65665/3011696d1-ae71-4f5b-b195-4e74bfd600a9,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea",,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata",,Marine water body,could be marine water body bottom
http://n2t.net/ark:/65665/300b8fb01-cf14-4fd8-b64a-7c66d547d4ed,Invertebrate Zoology,,South America,,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Aeglidae",,Terrestrial water body,could be bottom dwellers-
http://n2t.net/ark:/65665/300c6d5b1-fbf4-45b9-9483-477aa597ac70,Invertebrate Zoology,,Chile,Rio Puelo,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Aeglidae",,Terrestrial water body,could be bottom dwellers-
http://n2t.net/ark:/65665/30138be38-7ae8-40c8-a263-4c06d93c75af,Invertebrate Zoology,,"Chile, XI Región Aysén del General Carlos Ibáñez del Campo",Rosselot Lake,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Aeglidae",,Terrestrial water body,could be bottom dwellers-
http://n2t.net/ark:/65665/301480912-e065-4f40-9a5c-d18a540835f6,Invertebrate Zoology,,,No collection info; Sample number not found in Crandall database,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Aeglidae",,Terrestrial water body,could be bottom dwellers-
http://n2t.net/ark:/65665/3003139a7-1527-4156-8e8c-2db88ae792d4,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Near lighthouse","Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Alpheidae",Active human occupation site,Marine water body bottom,
http://n2t.net/ark:/65665/3013fc807-f97e-4684-bba5-fb9ac541292f,Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Atiha Bay pass, wall on west side of pass","Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Alpheidae",,Marine water body bottom,
http://n2t.net/ark:/65665/300dcafc6-02e3-4ab1-ae19-f2cf53df6e51,Invertebrate Zoology,,"North Pacific Ocean, Northern Mariana Islands","Mariana Arc, NW Eifuku 'Champagne'","Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Alvinocarididae",,Marine water body bottom,
http://n2t.net/ark:/65665/30096e968-333e-41bf-b1aa-89a82d9384f3,Invertebrate Zoology,,North Pacific Ocean,Mariana Trough,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Bythograeidae",,Marine water body bottom,
http://n2t.net/ark:/65665/301439f2c-663b-4705-bd17-7959e42ea370,Invertebrate Zoology,,"North Atlantic Ocean, United States, Virginia, Accomack County","Cedar Island, backside, sandflats","Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Callianassidae",,Marine water body bottom,
http://n2t.net/ark:/65665/30002e5e4-91a3-4343-9519-2aab489dfbfd,Invertebrate Zoology,,"United States, Tennessee, Putnam County",Big Spring Weaks Property,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Cambaridae","Terrestrial water body,
Subaerial surface environment","Lake, river or stream bottom",have to know that Malacostraca are bottom dwellers... and that setting is terrestrial (tennessee...)
http://n2t.net/ark:/65665/30005b166-69c0-4e74-8ced-5bbb08af835a,Invertebrate Zoology,,"United States, Missouri",Meramec River at Huzzah Plus,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Cambaridae","Terrestrial water body,
Subaerial surface environment","Lake, river or stream bottom","common name-'crayfish' are bottom dwellers, association with 'river' makes it 'Lake, river or stream bottom'"
http://n2t.net/ark:/65665/30008b670-26d4-4bfa-baa2-a206b23f306e,Invertebrate Zoology,,"United States, Kentucky, Rockcastle County",,"Animalia, Arthropoda, Crustacea, Malacostraca, Eumalacostraca, Eucarida, Decapoda, Pleocyemata, Cambaridae",Subaerial surface environment,"Lake, river or stream bottom",Cambaridae are all freshwater bottom dwellers
