,$schema,@id,label,sampleidentifier,description,hasContextCategory,hasMaterialCategory,hasSpecimenCategory,informalClassification,keywords,registrant,samplingPurpose,relatedResource,producedBy.@id,producedBy.label,producedBy.description,producedBy.hasFeatureOfInterest,producedBy.responsibility,producedBy.resultTime,producedBy.samplingSite.description,producedBy.samplingSite.label,producedBy.samplingSite.location.elevation,producedBy.samplingSite.location.latitude,producedBy.samplingSite.location.longitude,producedBy.samplingSite.placeName,curation.label,curation.description,curation.accessConstraints,curation.curationLocation,curation.responsibility,uri
10,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2pc39w04,Obj 4004111912,ark:/28722/k2pc39w04,early bce/ce: -1050.0 | late bce/ce: 700.0 | updated: 2021-07-02T22:46:43Z,['Site of past human activities'],['Anthropogenic material'],['Artifact'],[],"['Greece', 'Corinthia', 'EKAS Region', 'Rachi Boska', 'DU 4004']",,,[],Not Provided,The Eastern Korinthia Archaeological Survey,http://opencontext.org/projects/bc71c724-eb1e-47d6-9d45-b586ddafdcfe,Not Provided,"['creator: David K. Pettegrew', 'creator: Timothy E Gregory', 'creator: Daniel J Pullen', 'creator: Richard Rothaus', 'creator: Thomas F Tartaron']",2021-06-04T07:43:39Z,,,,37.892013,22.948051,"['Greece', 'Corinthia', 'EKAS Region', 'Rachi Boska', 'DU 4004']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/471bf75f-9e08-4343-8eab-5e91a0382da6
11,../../iSamplesSchemaBasic0.2.json,metadata/28722/k27w6p73w,Fish F14552,ark:/28722/k27w6p73w,early bce/ce: 1400.0 | late bce/ce: 1650.0 | updated: 2021-06-23T06:21:33Z | Has anatomical identification: vertebra,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],[],"['United States', 'Washington', 'Clallam County', 'Čḯxwicən', 'Area A1', 'Unit 11']",,,[],Not Provided,The Čḯxʷicən Fishbone Project,http://opencontext.org/projects/fde9a92e-9748-47a5-a8e3-7f95c486e1a0,Not Provided,"['creator: Virginia L Butler', 'creator: Kristine M Bovy', 'creator: Sarah K Campbell', 'creator: Michael A Etnier', 'creator: Sarah L Sterling', 'collector: Virginia L Butler', 'collector: Anthony R Hofkamp', 'collector: Kathyrn A Mohlenhoff', 'collector: Reno Nims', 'collector: Patrick Rennaker', 'collector: J Shoshana Rosenberg', 'collector: Laura M Syvertston']",2020-12-13T23:28:17Z,,,,48.13149,-123.46283,"['United States', 'Washington', 'Clallam County', 'Čḯxwicən', 'Area A1', 'Unit 11']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/f185951b-9960-46ae-a6c6-ebcbd2053419
12,../../iSamplesSchemaBasic0.2.json,metadata/http://n2t.net/ark:/28722/k2rv0mc2d,DT 0736-2,http://n2t.net/ark:/28722/k2rv0mc2d,early bce/ce: -6500.0 | late bce/ce: -5500.0 | updated: 2017-02-11T14:13:15Z,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],[],"['Turkey', 'Domuztepe', 'II', 'Lot 863', 'DT 0736']",,,[],Not Provided,Domuztepe Excavations,http://opencontext.org/projects/3,Not Provided,"['creator: Stuart Campbell', 'creator: Elizabeth Carter']",2006-02-28T00:00:00Z,,,,37.322559,37.034902,"['Turkey', 'Domuztepe', 'II', 'Lot 863', 'DT 0736']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/12959_DT_Spatial
13,../../iSamplesSchemaBasic0.2.json,metadata/28722/k24f22k30,Fish F15410,ark:/28722/k24f22k30,early bce/ce: 650.0 | late bce/ce: 950.0 | updated: 2021-06-23T06:05:16Z | Has anatomical identification: vertebra,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Leptocottus armatus'],"['United States', 'Washington', 'Clallam County', 'Čḯxwicən', 'Area BX4', 'Unit 1']",,,[],Not Provided,The Čḯxʷicən Fishbone Project,http://opencontext.org/projects/fde9a92e-9748-47a5-a8e3-7f95c486e1a0,Not Provided,"['creator: Virginia L Butler', 'creator: Kristine M Bovy', 'creator: Sarah K Campbell', 'creator: Michael A Etnier', 'creator: Sarah L Sterling', 'collector: Virginia L Butler', 'collector: Anthony R Hofkamp', 'collector: Kathyrn A Mohlenhoff', 'collector: Reno Nims', 'collector: Patrick Rennaker', 'collector: J Shoshana Rosenberg', 'collector: Laura M Syvertston']",2020-12-13T23:30:38Z,,,,48.13149,-123.46283,"['United States', 'Washington', 'Clallam County', 'Čḯxwicən', 'Area BX4', 'Unit 1']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/73f40840-a173-4a99-ae4c-875248cb23ad
14,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2j10bc8v,Fish F212,ark:/28722/k2j10bc8v,early bce/ce: 650.0 | late bce/ce: 950.0 | updated: 2021-06-23T10:54:14Z | Has anatomical identification: vertebra,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Pleuronectiformes'],"['United States', 'Washington', 'Clallam County', 'Čḯxwicən', 'Area A4', 'Unit 1']",,,[],Not Provided,The Čḯxʷicən Fishbone Project,http://opencontext.org/projects/fde9a92e-9748-47a5-a8e3-7f95c486e1a0,Not Provided,"['creator: Virginia L Butler', 'creator: Kristine M Bovy', 'creator: Sarah K Campbell', 'creator: Michael A Etnier', 'creator: Sarah L Sterling', 'collector: Virginia L Butler', 'collector: Anthony R Hofkamp', 'collector: Kathyrn A Mohlenhoff', 'collector: Reno Nims', 'collector: Patrick Rennaker', 'collector: J Shoshana Rosenberg', 'collector: Laura M Syvertston']",2020-12-13T22:49:32Z,,,,48.13149,-123.46283,"['United States', 'Washington', 'Clallam County', 'Čḯxwicən', 'Area A4', 'Unit 1']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/2a69fd0d-196d-4d79-8b99-4532994c7363
15,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2416vw0g,Bone 9778,ark:/28722/k2416vw0g,early bce/ce: -6200.0 | late bce/ce: -5400.0 | updated: 2020-03-28T13:39:50Z | Has anatomical identification: innominate bone,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Sus scrofa'],"['Turkey', 'Ilıpınar', 'Area 2', 'Lot 32']",,,[],Not Provided,Ilıpınar Zooarchaeology,http://opencontext.org/projects/D297CD29-50CA-4B2C-4A07-498ADF3AF487,Not Provided,"['creator: Hijlke Buitenhuis', 'collector: Hijlke Buitenhuis']",2013-08-12T00:00:00Z,,,,40.468303,29.309099,"['Turkey', 'Ilıpınar', 'Area 2', 'Lot 32']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/75556E93-739A-4C5D-CD3C-03B2EB0582F4
16,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2pk09n8s,8388.F43,ark:/28722/k2pk09n8s,early bce/ce: -6500.0 | late bce/ce: -6200.0 | updated: 2020-03-28T09:45:30Z | Has anatomical identification: bone,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Mammalia'],"['Turkey', 'Çatalhöyük', 'Mound East', 'Area Bach', 'Unit 8388']",,,[],Not Provided,Çatalhöyük Zooarchaeology,http://opencontext.org/projects/1B426F7C-99EC-4322-4069-E8DBD927CCF1,Not Provided,"['creator: David Orton', 'creator: Nerissa Russell', 'creator: Katheryn Twiss', 'creator: Louise Martin', 'creator: Sheelagh Frame', 'collector: Nerissa Russell', 'collector: Vesna Dimitrijevic']",2013-02-13T00:00:00Z,,,,37.668196,32.827191,"['Turkey', 'Çatalhöyük', 'Mound East', 'Area Bach', 'Unit 8388']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/25E731DC-E65A-4841-9D90-C6A1C750C2EC
17,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2j67v915,Bone PI1-02593,ark:/28722/k2j67v915,early bce/ce: -750.0 | late bce/ce: 100.0 | updated: 2021-06-27T01:23:25Z | Has anatomical identification: distal phalanx,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Odocoileus'],"['Ecuador', 'Pichincha Province', 'Pi-1', 'Group 11']",,,[],Not Provided,Northern Highland Archaeofaunas of Ecuador,http://opencontext.org/projects/59157336-e1df-4d14-9cc9-f046bc429230,Not Provided,['creator: Peter W Stahl'],2020-06-27T00:52:45Z,,,,0.14322,-78.055418,"['Ecuador', 'Pichincha Province', 'Pi-1', 'Group 11']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/ca8e7772-f13d-49c2-affc-28c512b34b65
18,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2rx9jj2x,Fish F10426,ark:/28722/k2rx9jj2x,early bce/ce: 650.0 | late bce/ce: 950.0 | updated: 2021-06-23T07:40:14Z,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],[],"['United States', 'Washington', 'Clallam County', 'Čḯxwicən', 'Area A4', 'Unit 33']",,,[],Not Provided,The Čḯxʷicən Fishbone Project,http://opencontext.org/projects/fde9a92e-9748-47a5-a8e3-7f95c486e1a0,Not Provided,"['creator: Virginia L Butler', 'creator: Kristine M Bovy', 'creator: Sarah K Campbell', 'creator: Michael A Etnier', 'creator: Sarah L Sterling', 'collector: Virginia L Butler', 'collector: Anthony R Hofkamp', 'collector: Kathyrn A Mohlenhoff', 'collector: Reno Nims', 'collector: Patrick Rennaker', 'collector: J Shoshana Rosenberg', 'collector: Laura M Syvertston']",2020-12-13T23:17:01Z,,,,48.13149,-123.46283,"['United States', 'Washington', 'Clallam County', 'Čḯxwicən', 'Area A4', 'Unit 33']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/894daf2a-efb2-4f49-a74c-214324ca6539
19,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2rf64c37,83.0963,ark:/28722/k2rf64c37,early bce/ce: -2850.0 | late bce/ce: -2550.0 | updated: 2021-06-26T11:46:46Z,['Site of past human activities'],['Anthropogenic material'],['Artifact'],[],"['Jordan', 'Numayra', 'Unit NE 2-1 (unit Rm 16)', 'Locus 18']",,,[],Not Provided,Early Bronze Age Numayra,http://opencontext.org/projects/685a86a5-ed68-4f92-8c50-d2dfb8f20995,Not Provided,"['creator: Meredith S. Chesson', 'creator: R. Thomas Schaub', 'creator:  Walter E. Rast']",2019-10-05T00:00:00Z,,,,31.13142,35.52837,"['Jordan', 'Numayra', 'Unit NE 2-1 (unit Rm 16)', 'Locus 18']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/c0e61ffa-0b8a-40ad-9cff-0a729798b2d0
20,../../iSamplesSchemaBasic0.2.json,metadata/http://n2t.net/ark:/28722/k27084t3p,Unident. medium(b.50331),http://n2t.net/ark:/28722/k27084t3p,early bce/ce: -1100.0 | late bce/ce: -650.0 | updated: 2017-02-11T15:32:10Z,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],[],"['Israel', 'Hazor', 'Area A4', 'Locus 8037', 'Basket 50331']",,,[],Not Provided,Hazor: Zooarchaeology,http://opencontext.org/projects/HazorZooPRJ0000000010,Not Provided,['creator: Justin Lev-Tov'],2006-05-12T00:00:00Z,,,,32.9792,35.5433,"['Israel', 'Hazor', 'Area A4', 'Locus 8037', 'Basket 50331']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/HazorZooSPA0000016042
21,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2d50x03p,4143-Bonelit,ark:/28722/k2d50x03p,early bce/ce: 1000.0 | late bce/ce: 1100.0 | updated: 2021-06-23T06:23:56Z | Has anatomical identification: calcaneus,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Bos taurus'],"['Poland', 'Ujście']",,,[],Not Provided,Biometrical Database of European Aurochs and Domestic Cattle,http://opencontext.org/projects/1816A043-92E2-471D-A23D-AAC58695D0D3,Not Provided,"['creator: Elizabeth Wright', 'collector: Elizabeth Wright', 'collector: Sarah Viner-Daniels', 'collector: Umberto Albarella', 'collector: Martin Street', 'collector: Daniel Makowiecki', 'collector: Karlheinz Steppan', 'collector: Jean-Phillipe Brugal']",2016-04-03T00:00:00Z,,,,53.0548,16.7277,"['Poland', 'Ujście']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/37e5e166-8c1d-4e24-abcf-a4920682b624
22,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2x92j13c,Obj 1089000013,ark:/28722/k2x92j13c,early bce/ce: -6700.0 | late bce/ce: 700.0 | updated: 2021-07-02T23:14:22Z,['Site of past human activities'],['Anthropogenic material'],['Artifact'],[],"['Greece', 'Corinthia', 'EKAS Region', 'Kromna', 'DU 1089']",,,[],Not Provided,The Eastern Korinthia Archaeological Survey,http://opencontext.org/projects/bc71c724-eb1e-47d6-9d45-b586ddafdcfe,Not Provided,"['creator: David K. Pettegrew', 'creator: Timothy E Gregory', 'creator: Daniel J Pullen', 'creator: Richard Rothaus', 'creator: Thomas F Tartaron']",2021-06-04T06:45:47Z,,,,37.904351,22.954795,"['Greece', 'Corinthia', 'EKAS Region', 'Kromna', 'DU 1089']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/76b58bb1-85c7-40e7-8afe-de98a3d59a68
23,../../iSamplesSchemaBasic0.2.json,metadata/28722/k27m0b17z,DT 0125,ark:/28722/k27m0b17z,early bce/ce: -6500.0 | late bce/ce: -5500.0 | updated: 2021-06-24T22:52:04Z | Has anatomical identification: humerus,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Ovis aries'],"['Turkey', 'Domuztepe', 'II', 'Lot 703']",,,[],Not Provided,Domuztepe Excavations,http://opencontext.org/projects/3,Not Provided,"['creator: Stuart Campbell', 'creator: Elizabeth Carter', 'collector: Sarah Whitcher Kansa']",2006-02-28T00:00:00Z,,,,37.322559,37.034902,"['Turkey', 'Domuztepe', 'II', 'Lot 703']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/7273_DT_Spatial
24,../../iSamplesSchemaBasic0.2.json,metadata/28722/k26d5t92f,PC 20050061,ark:/28722/k26d5t92f,early bce/ce: -700.0 | late bce/ce: -535.0 | updated: 2018-07-24T14:36:58Z | Consists of: bronze | Has type: sheet | Temporal coverage: Archaic (580 BCE - 482 BCE) | Temporal coverage: Orientalizing (750 BCE - 582 BCE),['Site of past human activities'],['Anthropogenic material'],['Artifact'],[],"['Italy', 'Poggio Civitate', 'Tesoro', 'Tesoro 30F', '2005, ID:550', 'Locus 13']",,,[],Not Provided,Murlo,http://opencontext.org/projects/DF043419-F23B-41DA-7E4D-EE52AF22F92F,Not Provided,['creator: Anthony Tuck'],2012-12-28T00:00:00Z,,,,43.15274060769665,11.401780179059692,"['Italy', 'Poggio Civitate', 'Tesoro', 'Tesoro 30F', '2005, ID:550', 'Locus 13']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/CBD2371B-A16E-4015-3992-201FAEEFFC5F
25,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2x92ks44,Bone PI1-16025,ark:/28722/k2x92ks44,early bce/ce: -750.0 | late bce/ce: 100.0 | updated: 2021-06-26T21:29:40Z | Has anatomical identification: zygomatic bone,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Sylvilagus'],"['Ecuador', 'Pichincha Province', 'Pi-1', 'Group 65']",,,[],Not Provided,Northern Highland Archaeofaunas of Ecuador,http://opencontext.org/projects/59157336-e1df-4d14-9cc9-f046bc429230,Not Provided,['creator: Peter W Stahl'],2020-06-27T01:20:53Z,,,,0.14322,-78.055418,"['Ecuador', 'Pichincha Province', 'Pi-1', 'Group 65']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/1d513ba2-37e6-46b0-ab35-5faec81da741
26,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2j67bv90,Bone 934,ark:/28722/k2j67bv90,early bce/ce: -6000.0 | late bce/ce: -5660.0 | updated: 2020-03-28T14:56:16Z | Has anatomical identification: hyoid bone,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Sheep or goat'],"['Turkey', 'Ulucak', 'Level IVb']",,,[],Not Provided,Zooarchaeology of Neolithic Ulucak,http://opencontext.org/projects/99BDB878-6411-44F8-2D7B-A99384A6CA21,Not Provided,"['creator: Canan Çakırlar', 'collector: Canan Çakırlar']",2013-08-11T00:00:00Z,,,,38.46,27.35,"['Turkey', 'Ulucak', 'Level IVb']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/5B1F6020-D89A-46B5-8387-26356DC2ACC5
27,../../iSamplesSchemaBasic0.2.json,metadata/28722/k2s17x632,4121.F614,ark:/28722/k2s17x632,early bce/ce: -7000.0 | late bce/ce: -6500.0 | updated: 2020-03-28T08:26:25Z | Has anatomical identification: bone,['Site of past human activities'],['Biogenic non organic material'],['Organism part'],['Mammalia'],"['Turkey', 'Çatalhöyük', 'Mound East', 'Area South', 'Unit 4121']",,,[],Not Provided,Çatalhöyük Zooarchaeology,http://opencontext.org/projects/1B426F7C-99EC-4322-4069-E8DBD927CCF1,Not Provided,"['creator: David Orton', 'creator: Nerissa Russell', 'creator: Katheryn Twiss', 'creator: Louise Martin', 'creator: Sheelagh Frame', 'collector: Stephanie Meese', 'collector: Louise Martin', 'collector: Lisa Yeomans', 'collector: Çatalhöyük Zooarchaeology', 'collector: Katheryn Twiss', 'collector: Sheelagh Frame']",2013-02-13T00:00:00Z,,,,37.668196,32.827191,"['Turkey', 'Çatalhöyük', 'Mound East', 'Area South', 'Unit 4121']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided,http://opencontext.org/subjects/D174C098-CA23-478A-4E60-211ECC6D6915
