,$schema,@id,label,sampleidentifier,description,hasContextCategory,hasMaterialCategory,hasSpecimenCategory,informalClassification,keywords,registrant,samplingPurpose,relatedResource,producedBy.@id,producedBy.label,producedBy.description,producedBy.hasFeatureOfInterest,producedBy.responsibility,producedBy.resultTime,producedBy.samplingSite.description,producedBy.samplingSite.label,producedBy.samplingSite.location.elevation,producedBy.samplingSite.location.latitude,producedBy.samplingSite.location.longitude,producedBy.samplingSite.placeName,curation.label,curation.description,curation.accessConstraints,curation.curationLocation,curation.responsibility
10,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/IEBEG1F2Y,V14677,igsn:IEBEG1F2Y,Not Provided,['Earth interior'],['Rock'],['Aggregation'],Not Provided,['Cuttings'],Aaron Averett,,[],,Coring,Coring. This is a sample of type CUTTINGS from an oil or gas well.,Not Provided,"['FT. BEND OIL CO.,,Collector', 'Aaron Averett,,Sample Owner']",2016-12-11 11:43:31,Not Provided,Not Provided,Not Provided,0.0,0.0,"['Texas', 'TRAVIS']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
11,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP01CR6V,Section 129-802A-30R-2,igsn:ODP01CR6V,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Section'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:ODP Leg 129,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-5968.6 m,12.0963,153.2103,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
12,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP01ERYG,Section Half 145-883B-86X-1-A,igsn:ODP01ERYG,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Section Half'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:ODP Leg 145,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-2395.6 m,51.1985,167.7688,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
13,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/NEON01VQC,TREE_006-M-19-32-20190502-GA5 [ 314955 ],igsn:NEON01VQC,Not Provided,['Not Provided'],['Organic material'],['Other solid object'],Not Provided,['Individual Sample>Specimen'],Edward Gilbert,,[],,Manual,Manual. Interchangeable soil subsample 5 for microbial sequencing analyses,Not Provided,"['Edward Gilbert,,Sample Owner']",2019-05-02,Not Provided,Not Provided,466.0 m,45.4916,-89.5512,"['Wisconsin', 'Lincoln']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
14,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/NEON01XOV,SOAP_005-M-30-12-20180530-GA4 [ 324961 ],igsn:NEON01XOV,Not Provided,['Not Provided'],['Organic material'],['Other solid object'],Not Provided,['Individual Sample>Specimen'],Edward Gilbert,,[],,Manual,Manual. Interchangeable soil subsample 4 for microbial sequencing analyses,Not Provided,"['Edward Gilbert,,Sample Owner']",2018-05-30,Not Provided,Not Provided,1208.0 m,37.0321,-119.2632,"['California', 'Fresno']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
15,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP013KCK,Section Half 32-306*-19R-1-A,igsn:ODP013KCK,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Section Half'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:DSDP Leg 32,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-3399.0 m,31.867,157.4785,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
16,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/DSR000QVU,RC13-259PC_142cm,igsn:DSR000QVU,Not Provided,['Not Provided'],['Sediment'],['Other solid object'],Not Provided,['Core Piece'],Sarah Ramdeen,,[],,Not Provided,,Not Provided,"['corelab repository,,Sample Owner']",2019-05-06,Not Provided,Not Provided,Not Provided,0.0,0.0,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
17,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP017C06,SubSection 78-541*-32R-2-1C (0-150 cm.),igsn:ODP017C06,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Sub-Piece'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:DSDP Leg 78. Core,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-4940.0 m,15.52,-58.7283,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
18,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP0164IV,Section 65-482B-21R-2,igsn:ODP0164IV,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Section'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:DSDP Leg 65,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-2998.0 m,22.7897,-107.9933,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
19,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/IEIND04V1,J-81 230,igsn:IEIND04V1,Not Provided,['Earth interior'],['Rock'],['Analytical preparation'],Not Provided,['Individual Sample>Powder'],Sam Kodama,,[],,Not Provided,,Not Provided,"['Indiana Geological and Water Survey,,Sample Owner']",1981,T10N R8W Sec. 20,Not Provided,Not Provided,0.0,0.0,"['Indiana', 'Vigo']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
20,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/NHB001WN0,NMNH B3608-00 (MIN),igsn:NHB001WN0,Not Provided,['Earth interior'],['Mineral'],['Other solid object'],Not Provided,['Individual Sample'],Adam Mansur,,[],,Not Provided,,Not Provided,"['Adam Mansur,,Sample Owner']",2015-05-07 08:07:55,"Matched to the GeoNames record for Cavnic, Oraș Cavnic, Maramureş, Romania (http://geonames.org/682508) based on feature name, state/province, and country using the situate.py script. This was the most specific match possible based on information available in this record. Bounding box coordinates were rounded to 2 decimal places from the values given by GeoNames. An arbitrary error radius of 10 km was assigned to all featureCode=PPLA2 records matched using the script.",Not Provided,Not Provided,47.67,23.87,['Maramures'],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
21,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/NHB003P92,NMNH 14852 (PET),igsn:NHB003P92,Not Provided,['Earth interior'],['Rock'],['Other solid object'],Not Provided,['Individual Sample'],Adam Mansur,,[],,Not Provided,,Mine,"['Adam Mansur,,Sample Owner']",2015-05-31 12:19:32,"Coordinates for Stonewall Mine (MRDS ID: W024833, Deposit ID: 10140807) are from the USGS Mineral Resources Data System dataset (downloaded 2015-08-13). Record matched uniquely on mine name, country, state, and county.",Not Provided,Not Provided,32.9832,-116.57,"['Stonewall Mine', 'California', 'San Diego Co.']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
22,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/LCZ77000F,LGW1_1-6,igsn:LCZ77000F,Not Provided,['Earth interior'],['Rock'],['Not Provided'],Not Provided,['Terrestrial Section'],Susan Brantley,,[],,coring,"cruiseFieldPrgrm:Luquillo Critical Zone Observatory (CZO). coring. Rindlet:  Piece of core, cut into 4 pieces for analyses",Not Provided,"['Joe Orlando,,Collector', 'Susan Brantley,,Sample Owner']",2010-06-15,Not Provided,Not Provided,Not Provided,18.2823,-65.7745,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
23,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP010AQF,Core 112-680B-16X,igsn:ODP010AQF,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Coring,cruiseFieldPrgrm:ODP Leg 112. Coring. EMPTY LINER; ,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-03-23 12:00:00,Not Provided,Not Provided,-273.0 m,-11.065,-78.0778,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
24,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/NHB001GZJ,NMNH 156524-00 (MIN),igsn:NHB001GZJ,Not Provided,['Earth interior'],['Mineral'],['Other solid object'],Not Provided,['Individual Sample'],Adam Mansur,,[],,Not Provided,,Not Provided,"['Adam Mansur,,Sample Owner']",2015-05-06 03:09:36,Not Provided,Not Provided,Not Provided,0.0,0.0,['Chelyabinsk Oblast'],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
25,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP017XYM,Section Half 85-575A-25H-3-A,igsn:ODP017XYM,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Section Half'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:DSDP Leg 85,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-4536.0 m,5.85,-135.036,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
26,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/NEON002U6,NEON.BET.D01.003807 [ 300407 ],igsn:NEON002U6,Not Provided,['Not Provided'],['Organic material'],['Other solid object'],Not Provided,['Individual Sample'],Edward Gilbert,,[],,Manual,Manual. Individual Carabid identified and pinned,Not Provided,"['Edward Gilbert,,Sample Owner']",2018-06-05,Not Provided,Not Provided,206.0 m,42.4247,-72.2546,"['Massachusetts', 'Worcester']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
27,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP016QMZ,Section Half 72-516F-37R-5-A,igsn:ODP016QMZ,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Section Half'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:DSDP Leg 72,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-1313.0 m,-30.2765,-35.285,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
28,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP018YEQ,Section Half 94-610E-2X-3-A,igsn:ODP018YEQ,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Section Half'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:DSDP Leg 94,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,Not Provided,53.2245,-18.8948,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
29,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/IELCZ155D,TABDYS-15-155 50-80,igsn:IELCZ155D,Not Provided,['Subaerial surface environment'],['Soil'],['Not Provided'],Not Provided,['Terrestrial Section'],Miguel Leon,,[],,quantitative pit/ hand coring,cruiseFieldPrgrm:Luquillo Critical Zone Observatory (CZO). quantitative pit/ hand coring,Not Provided,"['Miguel Leon,,Sample Owner']",2010-07-27,Slope,Not Provided,778.8 m,18.2921,-65.7959,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
30,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/NEON03LJ8,NEON.BET.D12.000381 [ 802910 ],igsn:NEON03LJ8,Not Provided,['Not Provided'],['Organic material'],['Other solid object'],Not Provided,['Individual Sample>Specimen'],Andrew Johnston,,[],,Manual,Manual. Individual Carabid identified and pinned,Not Provided,"['Edward Gilbert,,Sample Owner']",2018-07-26,Not Provided,Not Provided,2150.0 m,44.9554,-110.4948,"['Wyoming', 'Park']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
31,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/NHB00220M,NMNH B10887-00 (MIN),igsn:NHB00220M,Not Provided,['Earth interior'],['Mineral'],['Other solid object'],Not Provided,['Individual Sample'],Adam Mansur,,[],,Not Provided,,Not Provided,"['Adam Mansur,,Sample Owner']",2015-05-26 07:46:19,"Matched to the GeoNames record for Klein-Umstadt, Regierungsbezirk Darmstadt, Hesse, Germany (http://geonames.org/2888099) based on feature name, state/province, and country using the situate.py script. This was the most specific match possible based on information available in this record. Bounding box coordinates were rounded to 2 decimal places from the values given by GeoNames. An arbitrary error radius of 10 km was assigned to all featureCode=PPL records matched using the script.",Not Provided,Not Provided,49.89,8.95,['Hesse'],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
32,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/HRV000U98,91072,igsn:HRV000U98,Not Provided,['Earth interior'],['Mineral'],['Other solid object'],Not Provided,['Individual Sample'],Carl Francis,,[],,Manual,Manual. Mineral Group: Calcite;   ,Not Provided,"['Carl Francis,,Sample Owner']",2007-02-03 12:00:00,Not Provided,Not Provided,Not Provided,0.0,0.0,"['Coahuila', 'Sierra Mojada', 'Sierra Mojada']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
33,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/HRV002BW6,124918,igsn:HRV002BW6,Not Provided,['Earth interior'],['Mineral'],['Other solid object'],Not Provided,['Individual Sample'],Carl Francis,,[],,Manual,Manual.     ,Not Provided,"['Carl Francis,,Sample Owner']",2007-02-03 12:00:00,Not Provided,Not Provided,Not Provided,0.0,0.0,['Australia'],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
34,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP011EUE,SubSection 8-70*-3R-2-1C (0-150 cm.),igsn:ODP011EUE,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Sub-Piece'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:DSDP Leg 8. Core,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-5059.0 m,6.3347,-140.362,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
35,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP01BE1V,Section 118-735B-62R-1,igsn:ODP01BE1V,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Section'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:ODP Leg 118,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-719.9 m,-32.7233,57.266,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
36,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP01DIM8,Section Half 133-823B-9H-6-A,igsn:ODP01DIM8,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Section Half'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:ODP Leg 133,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-1637.9 m,-16.6164,146.7842,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
37,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/NEON03QL8,MOS.D03.001441 [ 805772 ],igsn:NEON03QL8,Not Provided,['Not Provided'],['Organic material'],['Other solid object'],Not Provided,['Individual Sample>Specimen'],Andrew Johnston,,[],,Manual,Manual. List of individual mosquitoes preserved as vouchers,Not Provided,"['Edward Gilbert,,Sample Owner']",2019-07-02,Not Provided,Not Provided,48.0 m,31.1827,-84.4822,"['Georgia', 'Baker']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
38,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP013VLJ,Section 38-341*-23R-6,igsn:ODP013VLJ,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Section'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:DSDP Leg 38,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-1439.0 m,67.335,6.1107,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
39,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/NHB0018CW,NMNH 145455-00 (MIN),igsn:NHB0018CW,Not Provided,['Earth interior'],['Mineral'],['Other solid object'],Not Provided,['Individual Sample'],Adam Mansur,,[],,Not Provided,,Mining District,"['Adam Mansur,,Sample Owner']",2015-05-05 07:39:42,"Coordinates from GEOLocate for parse pattern ""FRANKLIN"". Mindat gives a nearly identical location and provides the following description for this site: ""Franklin includes all of the localities within the incorporated limits of the borough of Franklin, including the Franklin mine. This locality is within the Franklin Mining District"" (""Franklin, Franklin Mining District"", 2016).",Not Provided,Not Provided,41.122,-74.5804,"['Franklin Mining District', 'New Jersey', 'Sussex Co.']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
40,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/ODP01DS4G,Section Half 135-834A-6H-2-A,igsn:ODP01DS4G,Not Provided,['Not Provided'],['Not Provided'],['Other solid object'],Not Provided,['Core Section Half'],Curator Integrated Ocean Drilling Program (TAMU),,[],,Not Provided,cruiseFieldPrgrm:ODP Leg 135,Not Provided,"['Curator,,Collector', 'Curator Integrated Ocean Drilling Program (TAMU),,Sample Owner']",2006-08-10 12:00:00,Not Provided,Not Provided,-2692.3 m,-18.5676,-177.8623,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
41,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/IEACM0108,Skye 18b,igsn:IEACM0108,Not Provided,['Not Provided'],['Organic material'],['Other solid object'],Not Provided,['Individual Sample'],alan mackenzie,,[],,Not Provided,sheep rib,Not Provided,"['alan mackenzie,,Sample Owner']",2017-11-06 02:30:01,Not Provided,Not Provided,Not Provided,57.4378,-6.183,[],Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
42,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/CDR000402,NWG14-LSO14-4B,igsn:CDR000402,Not Provided,['Not Provided'],['Not Provided'],['Not Provided'],Not Provided,['Hole'],Anders Noren,,[],,Not Provided,cruiseFieldPrgrm:NWG14. navigation type:GPS,lake,"['Meredith Kelly, Yarrow Axford, Erich Osterberg,,Collector', 'Anders Noren,,Sample Owner']",2014-06-07,Platform: ice; Water Depth (m): 8.45,Not Provided,542.0 m,76.7487,-67.2956,"['Landso', 'Thule']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
43,../../iSamplesSchemaBasic0.2.json,https://data.isamples.org/digitalsample/igsn/NEON00ASB,NEON.BET.D06.000937 [ 318735 ],igsn:NEON00ASB,Not Provided,['Not Provided'],['Organic material'],['Other solid object'],Not Provided,['Individual Sample>Specimen'],Edward Gilbert,,[],,Manual,Manual. Individual Carabid identified and pinned,Not Provided,"['Edward Gilbert,,Sample Owner']",2015-08-17,Not Provided,Not Provided,404.0 m,39.0881,-96.5703,"['Kansas', 'Riley']",Not Provided,Not Provided,Not Provided,Not Provided,Not Provided
