collectionCode,habitat,higherGeography,locality,CoreTerm
Fishes,,"Atlantic, Caribbean Sea, Curacao, Lesser Antilles, Leeward Antilles, Klein Curacao","Curacao, Klein Curacao.",Marine Biome
Invertebrate Zoology,,"North Atlantic Ocean, Gulf of Mexico, United States, Texas",Lagnua Madre Field Station,"Experiment setting,
Laboratory environment"
Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Near lighthouse",Marine Biome
Entomology,,"Netherlands, [Not Stated], [Not Stated]",Wageningen,Subaerial surface environment 
Botany,Forest along edge of road.,"North America - Neotropics, Mexico, Chiapas","Along road 307 (Palenque-Trinitaria), ca 7.5 km north-west of Monte Sivai.",Subaerial surface environment 
Invertebrate Zoology,,"North Pacific Ocean, Kaneohe Bay, United States, Hawaii, Honolulu County","Kaneohe Marine Corps Base, near airfield",Active human occupation site
Invertebrate Zoology,,North Pacific Ocean,East Pacific Rise,Marine water body bottom 
Invertebrate Zoology,,"North America, United States, Oklahoma, LeFlore County",2 mi W of Oklahoma - Arkansas state line on State Highway 128,Subaerial surface environment 
Fishes,,"Atlantic, Caribbean Sea, Belize",,Marine Biome
Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, NW Motus in channel between motus",Marine Biome
Invertebrate Zoology,,"North Pacific Ocean, Dutch Harbor, United States, Alaska",Amaknak Island; Dutch Harbor; City Spit Dock,Active human occupation site
Botany,,"North America, United States, District of Columbia",,Subaerial surface environment 
Entomology,,"Myanmar, Tanintharyi region","Lenya NP, site I",Subaerial surface environment 
Invertebrate Zoology,,"United States, South Carolina, Aiken County",Upper 3 Runs Creek On SC Highway  278,Subaerial surface environment 
Entomology,,"United States, New Mexico, Rio Arriba","Jemez Mountains; Clear Creek, 2 km S San Gregorio Reservoir",Subaerial surface environment 
Fishes,,"Atlantic, Caribbean Sea, Trinidad and Tobago, Lesser Antilles, Windward Islands, Tobago","Tobago, Buccoo Reef",Marine Biome
Invertebrate Zoology,,"United States, Florida, Jackson County","SR 73, circa 4.5 miles northwest of JCT US Highway 90",Subaerial surface environment 
Botany,,"Asia-Temperate, China, Xizang","Lhasa Shi, Cheng-guan Xiang, Geri Temple",Active human occupation site
Invertebrate Zoology,,"North Atlantic Ocean, Gulf of Mexico, United States, Texas",Traylor Island,Marine Biome
Invertebrate Zoology,,"North Atlantic Ocean, Gulf of Mexico, United States, Texas",Oil Rig,Marine Biome
Fishes,,"Pacific, Philippines","Philippines, Metro Manila, Cubao, farmer's market",Active human occupation site
Botany,,"North America, United States, District of Columbia","United States National Arboretum, 3501 NY Ave. NE, Asian collection",Active human occupation site
Invertebrate Zoology,,"North Atlantic Ocean, United States, Virginia, Accomack County",confluence of Finney and Nickawampus creeks,"Subaqueous terrestrial biome,
Subaerial terrestrial environment "
Amphibians %26 Reptiles,,"Asia, Burma, Tanintharyi Division","Lenya National Park, 1.62 km (airline) south of the junction of a logging road and Ma Noe Lone (stream), small stream at a forest trail","Subaqueous terrestrial biome,
Subaerial terrestrial environment "
Botany,Grassy flats on mountain summit.,"North America, Mexico, San Luis Potosí","E of Wadley, Sierra de Catorce.",Subaerial surface environment 
Invertebrate Zoology,,"United States, Florida, Gulf County","State Road 71, 8.4 miles south of State Road 22",Subaerial surface environment 
Amphibians %26 Reptiles,,"Africa, Djibouti, Arta","Chabelley (village), ca. 3 km N of, Chabelley Airfield",Subaerial surface environment
Fishes,,"Atlantic, Chesapeake Bay, United States, Virginia, Gloucester County","Virginia, Gloucester County, Chesapeake Bay, Cape Henry Channel, green channel marker #19",Active human occupation site
Invertebrate Zoology,,North Pacific Ocean,"Juan de Fuca Ridge, Middle Valley,",Marine water body bottom 
Fishes,,"Pacific, French Polynesia, Marquesas Islands, Marquesas Islands, Eiao","Marquesas, Eiao, Vaituha",Marine Biome
Invertebrate Zoology,,"North Atlantic Ocean, United States, Virginia, Northampton County","Oyster, boat ramp",Marine Biome
Botany,Full sun; soil dry,"North America, United States, Virginia, Stafford County",Mt. Joy Store bog; off of Rt 611 just W of Decatur Road where the powerline crosses Rt 611.,Active human occupation site
Birds,,"Asia, Myanmar, Sagaing, Kan Blu District (?)",,Subaerial surface environment 
Fishes,,"Atlantic, United States, Florida, Brevard County","Florida, Brevard County, Port Canaveral Trident Basin, west revetment",Subaqueous terrestrial biome
Mammals,Ecological remarks by collector(s): yes,"Asia, Myanmar, Mon","Kinmun, Nr., In Kyaikhtiyo Wildlife Sanctuary",Subaerial surface environment 
Invertebrate Zoology,,"North Atlantic Ocean, Gulf of Mexico, United States, Texas",Mustand Island State Park S,Marine Biome
Botany,Border of pine flatwoods,"North America, United States, Florida, Franklin County","Apalachicola National Forest, junction of SR129 and SR65, 6.5 air km S of Sumatra",Subaerial surface environment 
Invertebrate Zoology,,"North Atlantic Ocean, United States, Florida, St. Lucie County",Fort Pierce Inlet,Marine Biome
Botany,,"Central America - Neotropics, Panama, Chiriquí, Ladrones","Islas Ladrones. Diablo's Mesa, N of big island",Marine Biome
Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, in between the two Moru - Club Med.",Marine Biome
Invertebrate Zoology,,"Brazil, Rio Grande do Sul","Barba Negra, drainage canals",Subaerial surface environment 
Fishes,,"Atlantic, Caribbean Sea, Curacao, Lesser Antilles, Leeward Antilles, Klein Curacao","Curacao, Klein Curacao, towed to SW tip of the island.",Marine Biome
Invertebrate Zoology,,"North Pacific Ocean, United States, California, Los Angeles County","California, Los Angeles County, Port of Los Angeles",Subaerial surface environment 
Invertebrate Zoology,,"South Pacific Ocean, French Polynesia, Society Islands, Moorea","Society Islands, Moorea, Cook's Bay, off Gump Station",Marine Biome
Botany,,"Asia-Temperate, China, Xizang","Bomi Xian, Songzhong Zhen, Geni Chun",Active human occupation site
Botany,,"North America, United States, Missouri, Saint Louis","Missouri Botanical Garden, Climatron. Source: Missouri Botanical Garden, Tom Hecker  (Cultivated). MOBOT LCMS Accession # 1997-1398",Subaerial surface environment 
Fishes,,"Atlantic, United States",,Marine Biome
Mammals,,"North America, United States, Arizona, Mohave County","Democrat Mine area, 5 mi S of Hualapai Mountain Park",Subaerial surface environment 
Invertebrate Zoology,,"United States, Oklahoma, McCurtain County","US Hwy 70, 4 miles west of state line",Subaerial surface environment 
Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, Matautia village.",Marine Biome
Invertebrate Zoology,,"North Pacific Ocean, United States, California",V1676,Subaerial surface environment
Invertebrate Zoology,,"United States, Alabama, Hale County",Black Warrior River between locks 5-6,Subaerial surface environment 
Invertebrate Zoology,,"Chesapeake Bay, United States, Maryland, Anne Arundel County",Rhode River Mouth,"Subaqueous terrestrial biome,
Subaerial terrestrial environment "
Invertebrate Zoology,,North Pacific Ocean,East Pacific Rise,Marine water body bottom 
Fishes,,"Pacific, French Polynesia, Society Islands, Moorea","Moorea, beach-comber-red mark side.",Marine Biome
Invertebrate Zoology,,South Pacific Ocean,Southern East Pacific Rise,Marine water body bottom 
Fishes,,"Atlantic, Caribbean Sea, Honduras",,Marine Biome
Amphibians %26 Reptiles,,"Pacific Ocean , Vanuatu (Republic of), Vanuatu, Efate Island","Mele Maat, ca. 3 km E of, on Klem's Hill",Subaerial surface environment 
Invertebrate Zoology,,"North Pacific Ocean, United States, Washington, San Juan County","San Juan Island, Cattle Point",Marine Biome
Invertebrate Zoology,,"United States, Georgia, Toombs County",Rocky Creek at CR292,"Subaqueous terrestrial biome,
Subaerial terrestrial environment "
Mammals,closed forest near forest edge,"Asia, Malaysia, Sarawak, Bintulu Division, Borneo","Bukit Sarang, Ulu Kakus",Subaerial surface environment 
Entomology,,"New Zealand, Manawatu-Wanganui, [Not Stated], North Island","TO, Lake Otamangakau, 16 air km WSW Turangi","Subaqueous terrestrial biome,
Subaerial terrestrial environment "
Mammals,,"North America, United States, New Hampshire, Carroll County",Bartlett Experimental Forest,"Experiment setting,
Laboratory environment"
Invertebrate Zoology,,"North Atlantic Ocean, Chesapeake Bay, United States, Virginia, Northampton County","Lower Chesapeake Bay, Cape Charles Beach, just N of fishing pier, along jetty",Marine Biome
Fishes,,"Pacific, French Polynesia, Society Islands, Moorea",Northwest tip of Moorea,Marine Biome
Invertebrate Zoology,,"North Pacific Ocean, United States, California",V3278,Subaerial surface environment 
Birds,rocky hillside,"Africa, Namibia, Erongo",,Subaerial surface environment 
